Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating;
Minecraft,X360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,,,,,,;
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88,70,8.7,626,Nintendo,E;
Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72,27,7.8,85,Hudson Soft,E;
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96,89,8.4,3589,Bethesda Game Studios,M;
Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,,,,,,;
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82,42,4.3,896,EA Sports,E;
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95,91,8.2,1218,Bungie Software,M;
Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68,42,7.4,54,Nd Cube,E;
Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62,41,6.3,190,Hudson,E;
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88,37,6.6,348,Electronic Arts,E;
GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,,,,,,;
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,,,,,,;
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92,53,8.7,1056,SquareSoft,T;
The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0,0.6,8.01,86,75,7.6,886,The Sims Studio,T;
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99,,,,,,;
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,,,,,,;
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90,24,8.6,644,SquareSoft,T;
Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81,,,,,,;
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83,46,8.5,203,Game Freak,E;
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88,65,7.6,451,Rockstar Leeds,M;
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83,39,5.7,1443,Sledgehammer Games,M;
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,,,,,,;
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,,,,,;
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,,,,,,;
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97,87,9.1,1854,Nintendo EAD Tokyo,E;
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,,,,,,;
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,,,,,,;
Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0,0.69,7.38,84,84,7.6,580,Treyarch,M;
Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84,57,7.4,2142,EA DICE,M;
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85,33,8.6,171,EA Black Box,E;
Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0,0.73,7.2,49,21,8,110,Ubisoft Paris,E10+;
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85,38,7.5,1761,EA DICE,M;
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87,58,6.5,4228,Bethesda Game Studios,M;
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96,15,9.1,367,Namco,T;
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95,73,9,1658,Nintendo,T;
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,,,,,,;
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91,12,8.9,432,Naughty Dog,E;
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88,82,9.1,1599,Nintendo,E;
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92,38,9.1,568,HAL Labs,T;
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,,,,,,;
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82,39,8.6,132,EA Canada,E;
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88,29,8.5,135,EA LA,T;
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,,,,,,;
Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0,0.55,6.76,74,10,7.3,28,Ubisoft,E10+;
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93,90,7.7,2739,Epic Games,M;
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92,97,8.3,3712,Naughty Dog,T;
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94,44,8.4,993,Infinity Ward,M;
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96,105,8.8,5187,Naughty Dog,T;
FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,,,,,,;
Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74,45,7.4,27,Nintendo,E;
The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,,,,,,;
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95,73,8.8,2456,Rockstar San Diego,M;
FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86,37,4.3,576,EA Canada,E;
Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85,41,6.9,1307,Ubisoft,M;
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87,77,8.6,368,Retro Studios,E;
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97,68,8.6,1283,Bungie Software,M;
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1,6.41,92,16,6.4,2527,Bethesda Game Studios,M;
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76,28,9,222,Game Freak,E;
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85,46,8.8,597,SquareSoft,E;
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,,,,,,;
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95,96,9,2316,Rockstar San Diego,M;
Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92,61,8.6,439,Nintendo,E;
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,,,,,,;
World of Warcraft,PC,2004,Role-Playing,Activision,0.08,6.21,0,0,6.29,93,57,7.3,2182,Blizzard Entertainment,T;
Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87,22,8.1,78,Reflections Interactive,T;
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91,96,7.8,1504,Epic Games,M;
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73,51,7.4,95,Rare Ltd.,E10+;
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94,88,8.3,2295,Epic Games,M;
FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82,47,5.7,988,EA Sports,E;
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96,42,8.7,1026,KCEJ,M;
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,,,,,,;
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94,20,9.4,918,KCEJ,M;
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94,82,8.7,3558,Kojima Productions,M;
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95,92,64,7.6,972,Square Enix,T;
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95,98,9.1,8003,Naughty Dog,M;
Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89,13,9.2,364,Capcom,M;
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87,65,8.8,197,Level 5,E10+;
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89,8,8.9,102,Namco,T;
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0,0.51,5.64,80,17,8.9,62,Traveller's Tales,E10+;
Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67,35,7.2,21,Taito Corporation,E;
Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,,,,,,;
Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,,,,,,;
Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91,70,8.6,1202,Ubisoft Montreal,M;
Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81,77,7.7,1074,Ubisoft Montreal,M;
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92,90,8,516,Turn 10,E;
Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84,19,7.8,41,Nintendo,E;
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81,48,8.7,124,Capcom,T;
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96,42,8.6,2162,Rocksteady Studios,T;
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.81,2.19,0,0.47,5.48,97,14,7.9,764,Rockstar North,M;
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93,24,8.3,108,Intelligent Systems,E;
Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,,,,,,;
Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,,,,,,;
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66,22,7.1,156,Traveller's Tales,E;
Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0,0.83,5.39,85,45,7.6,409,Treyarch,M;
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93,113,7.9,7064,Naughty Dog,T;
Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34,,,,,,;
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83,83,7.3,2483,Square Enix,T;
Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,,,,,,;
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94,22,8.9,779,SquareSoft,T;
Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84,61,6.7,1196,Ubisoft,M;
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85,45,6.6,400,SquareSoft,T;
Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,,,,,,;
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81,53,5.4,898,Sledgehammer Games,M;
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,2.03,2.37,0,0.87,5.26,,,,,,;
Assassin's Creed II,X360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90,82,8.8,1305,Ubisoft Montreal,M;
Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,85,13,,,Core Design Ltd.,T;
Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94,29,8.5,140,EA Tiburon,E;
Tomodachi Life,3DS,2013,Simulation,Nintendo,0.97,2.11,1.9,0.24,5.23,,,,,,;
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84,70,8.1,733,Nintendo,E;
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89,63,8.8,245,Level 5,T;
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,,,,,,;
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85,72,8.6,147,Level 5,E;
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,,,,,,;
FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90,48,6.1,403,Electronic Arts,E;
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,,,,,,;
Diablo III,PC,2012,Role-Playing,Activision,2.44,2.16,0,0.54,5.14,88,86,4,9629,Blizzard Entertainment,M;
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68,30,7.6,100,EA LA,T;
Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,,,,,,;
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.12,,,,,,;
Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12,92,69,8.5,112,Harmonix Music Systems,T;
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80,88,6.5,604,Lionhead Studios,M;
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.63,2.45,0.44,0.57,5.09,,,,,,;
Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84,76,7.5,667,Capcom,M;
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90,57,8,416,Nintendo,E;
Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,,,,,,;
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89,51,8,233,EA Sports,E;
Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91,8,9,266,Capcom,M;
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86,50,8,150,Rockstar Leeds,M;
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92,18,9.2,69,Neversoft Entertainment,T;
Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0,0.33,5.01,,,,,,;
Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5,,,,,,;
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,68,34,7.1,47,Nintendo,T;
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1.83,1.19,1.54,0.37,4.93,,,,,,;
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,93,84,8.5,1655,Bethesda Game Studios,M;
Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88,29,8,121,EA Sports,E;
Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,,,,,,;
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0,0,4.87,0,4.87,,,,,,;
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.6,1.08,0.81,0.38,4.87,,,,,,;
Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,,,,,,;
